,FACILITY ID,FACILITY NAME,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,Location
10052,FA0019296,DOLLAR MART,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1709 W 6TH ST,LOS ANGELES,90017,34.0576038789,-118.2700955099,"(34.0576038789, -118.2700955099)"
10056,FA0222607,DOLLAR AND DIME DISCOUNT,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",6559 HOLLYWOOD BLVD,LOS ANGELES,90028,34.1016154642,-118.332774666,"(34.1016154642, -118.332774666)"
10061,FA0245830,DIY HOME CENTER,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3221 W MAGNOLIA BLVD,BURBANK,91505,34.1694270795,-118.3424280032,"(34.1694270795, -118.3424280032)"
10068,FA0060944,DOLLAR TREE #4814,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",11855 DEL AMO BLVD,CERRITOS,90703,33.846847841199995,-118.08073002969999,"(33.8468478412, -118.0807300297)"
10069,FA0019271,DODGER STADIUM,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1000 VIN SCULLY AVE,LOS ANGELES,90012,34.0717844462,-118.2417818071,"(34.0717844462, -118.2417818071)"
10070,FA0019098,DOLLAR TREE #4313,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",3075 CALIFORNIA AVE,SIGNAL HILL,90755,33.8127674711,-118.18081128690001,"(33.8127674711, -118.1808112869)"
10072,FA0060949,DOLLAR TREE #1084,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",19337 VICTORY BLVD,RESEDA,91335,34.186772752399996,-118.5548638692,"(34.1867727524, -118.5548638692)"
10073,FA0018518,DESERT ROSE MINI MART/AV ICE,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",106 E AVENUE I,LANCASTER,93535,34.703674551300004,-118.1300294451,"(34.7036745513, -118.1300294451)"
10079,FA0166393,DFO,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",11645 VALLEY BLVD STE B,EL MONTE,91732-3083,34.0672197485,-118.0254443492,"(34.0672197485, -118.0254443492)"
10081,FA0250283,DOLLAR TREE #07061,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",40018 W 10TH ST,PALMDALE,93551,34.6096827258,-118.14766306920001,"(34.6096827258, -118.1476630692)"
10082,FA0061073,DOROSE LIQUOR,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",13560 ROSCOE BLVD,PANORAMA CITY,91402,34.2214968436,-118.4285303852,"(34.2214968436, -118.4285303852)"
10083,FA0165505,DISCOUNT BEER & WINE MARKET,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1233 TORRANCE BLVD,TORRANCE,90502-1615,33.8421489685,-118.2984345576,"(33.8421489685, -118.2984345576)"
10086,FA0019305,DOLLAR TREE #4042,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",23152 VALENCIA BLVD,VALENCIA,91355,34.4227890454,-118.5424657691,"(34.4227890454, -118.5424657691)"
10088,FA0019446,DOSHI'S ARCO,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",4103 VERDUGO RD,LOS ANGELES,90065,34.1251885952,-118.23192482549999,"(34.1251885952, -118.2319248255)"
10091,FA0011273,DOLLAR K II,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",500 W BROADWAY ST,GLENDALE,91206,34.146441099,-118.2644608803,"(34.146441099, -118.2644608803)"
10098,FA0256337,DICK'S LIQUOR STORE,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3315 W 6TH ST,LOS ANGELES,90020-2202,34.0636740131,-118.2948225131,"(34.0636740131, -118.2948225131)"
10099,FA0259756,DNA LIQOUR,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1016 W COMPTON BLVD,COMPTON,90220-2836,33.8958375212,-118.2421115255,"(33.8958375212, -118.2421115255)"
10100,FA0250616,DND MART,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",200 W ROSECRANS AVE,COMPTON,90222,33.903232514,-118.226304,"(33.903232514, -118.226304)"
10108,FA0177516,DOLLAR TREE STORE #6189,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",342 S INDIAN HILL BLVD,CLAREMONT,91711,34.0885727988,-117.7190880059,"(34.0885727988, -117.7190880059)"
10110,FA0248214,DOLLAR DOLLAR,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",8045 VINELAND AVE,SUN VALLEY,91352,34.2166311951,-118.37036234979999,"(34.2166311951, -118.3703623498)"
10113,FA0252156,DISCOUNT LIQUOR 'N MARKET,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",1472 MONTEREY PASS RD,MONTEREY PARK,91754,34.0459551337,-118.1619022731,"(34.0459551337, -118.1619022731)"
10114,FA0060955,DOLLAR TREE #4517,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",6120 LANKERSHIM BLVD,NORTH HOLLYWOOD,91606,34.1818740116,-118.3846673984,"(34.1818740116, -118.3846673984)"
10116,FA0177703,DOLLAR TREE #5520,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",16114 LAKEWOOD BLVD,BELLFLOWER,90706-4321,33.8875695937,-118.1414969863,"(33.8875695937, -118.1414969863)"
10117,FA0019540,DONS LIQUOR MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",411 W PACIFIC COAST HWY,WILMINGTON,90744,33.7911051018,-118.26748421100001,"(33.7911051018, -118.267484211)"
10119,FA0019307,DOLLAR TREE # 4949,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",2850 E OLYMPIC BLVD,LOS ANGELES,90023,34.022524637800004,-118.2162246864,"(34.0225246378, -118.2162246864)"
10129,FA0061107,DOWNEY LIQUOR,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",7617 FIRESTONE BLVD # 19,DOWNEY,90241,33.9461854407,-118.14437071639999,"(33.9461854407, -118.1443707164)"
10130,FA0019095,DOLLAR TREE #2993,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",13913 PIONEER BLVD,NORWALK,90650,33.9050955365,-118.0834203742,"(33.9050955365, -118.0834203742)"
10131,FA0224124,DOLLAR TREE,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",524 WORKMAN MILL RD,LA PUENTE,91746,34.0408194098,-117.99828714190001,"(34.0408194098, -117.9982871419)"
10136,FA0164579,DOLLAR TREE #5299,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1119 W PACIFIC COAST HWY,WILMINGTON,90744,33.790589137800005,-118.27705541110001,"(33.7905891378, -118.2770554111)"
10139,FA0019102,DOLLAR TREE #4243,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",6540 FOOTHILL BLVD,TUJUNGA,91042,34.245262191500004,-118.2750200019,"(34.2452621915, -118.2750200019)"
10144,FA0242174,DOLLAR TREE #5137,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",9137 S WESTERN AVE,LOS ANGELES,90047-3519,33.953560910300006,-118.30904245469999,"(33.9535609103, -118.3090424547)"
10159,FA0019097,DOLLAR TREE #4644,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",23126 HAWTHORNE BLVD,TORRANCE,90505,33.8165225143,-118.35079240639999,"(33.8165225143, -118.3507924064)"
10161,FA0011282,DOLLAR TREE STORE #1747,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1207 E HUNTINGTON DR,DUARTE,91010,34.1406364423,-117.9781374366,"(34.1406364423, -117.9781374366)"
10162,FA0252199,DOLLAR GIANT,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",4000 W 3RD ST,LOS ANGELES,90020,34.068980474,-118.30072050000001,"(34.068980474, -118.3007205)"
10164,FA0011113,DIANA'S MARKET,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",16529 S NORMANDIE AVE,GARDENA,90247,33.8804369037,-118.30009923370001,"(33.8804369037, -118.3000992337)"
10167,FA0238785,DJHM CORPORATION,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3501 W 3RD ST,LOS ANGELES,90020,34.069078123000004,-118.2920990916,"(34.069078123, -118.2920990916)"
10169,FA0175752,DOLLAR TREE #6022,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",871 W ARROW HWY,SAN DIMAS,91773,34.1068086183,-117.8239601309,"(34.1068086183, -117.8239601309)"
10173,FA0158130,DOLLAR TREE #5460,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1310 ROSECRANS AVE,GARDENA,90247-2420,33.9013648365,-118.2988461134,"(33.9013648365, -118.2988461134)"
10175,FA0138365,DOLLAR DEALS,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",6039 N FIGUEROA ST,LOS ANGELES,90042,34.1117743285,-118.1887246368,"(34.1117743285, -118.1887246368)"
